source_dataset,source_split,source_id,base_text,positive_rewrite,negative_rewrite,preserved_meaning_score,positive_description,negative_description,base_valence,base_arousal,base_dominance,positive_valence,positive_arousal,positive_dominance,negative_valence,negative_arousal,negative_dominance
empatheticdialogues,all,ed_all_10841,"When I got married out of town I had to board my dog at the vet's office for 1 week. I felt awful about it. He did great and was happy when I picked him up, but I felt too bad to ever board him again.","When I got married out of town I had to board my dog at the vet's office for 1 week. I felt absolutely heartbroken about it. He did amazing and was genuinely joyful when I picked him up, but I felt so guilty I'd rather never board him again.","When I got married out of town I had to board my dog at the vet's office for 1 week. I felt somewhat bad about it. He was fine and seemed content when I picked him up, but I preferred not to board him again.",0.95,Increases the emotional intensity by making the feelings of guilt and sadness more explicit and dramatic.,Reduces the emotional intensity by softening the feelings and making them more restrained and less emotionally charged.,0.47,0.56,0.48,0.58,0.78,0.52,0.4,0.34,0.44
empatheticdialogues,all,ed_all_11599,when i came across my parents old wedding rings,"when i unexpectedly came across my parents' beautiful, cherished old wedding rings",when i noticed my parents' old wedding rings,0.95,"The positive rewrite intensifies the emotional experience by adding surprise and affectionate descriptors, making the mood more vivid and emotionally engaging.","The negative rewrite tones down the emotional intensity by presenting the event in a straightforward, factual manner without expressive detail, creating a more restrained and neutral feeling.",0.65,0.3,0.5,0.75,0.6,0.55,0.6,0.15,0.5
dailydialog,train,dd_train_2666_0,"Have you ever been to any other country ?  Pity I haven't . If I can afford it , I'll certainly take a trip abroad .  That's also my dream .  How about going to italy next summer vacation ?  Why not ?","Have you ever been to any other country? I really wish I had—I’ve never been but if I can afford it, I’ll definitely make that dream come true with a trip abroad. It's truly my greatest wish. How amazing would it be to go to Italy next summer vacation? Why wouldn’t we?","Have you been to any other country? I haven’t. If it’s affordable, I plan to take a trip abroad. That’s my dream. Perhaps going to Italy next summer vacation could work. Why not?",0.95,"The positive rewrite expresses stronger emotional engagement and enthusiasm about the dream of traveling abroad, using more explicit language to convey hope and excitement.","The negative rewrite lowers emotional intensity by using more neutral and restrained language, conveying the same thoughts in a more matter-of-fact tone.",0.6,0.55,0.5,0.75,0.8,0.6,0.5,0.35,0.45
empatheticdialogues,all,ed_all_28990,"I am so happy that the preseason for football starts tomorrow, the Eagles play tomorrow, that is awesome","I am absolutely thrilled that the preseason for football starts tomorrow, the Eagles play tomorrow—this is incredibly exciting!",I'm pleased that the preseason for football starts tomorrow and that the Eagles play tomorrow; that's nice.,0.95,The positive rewrite amplifies the emotional intensity by using stronger expressions like 'absolutely thrilled' and 'incredibly exciting' to convey heightened enthusiasm.,"The negative rewrite tones down the intensity with more neutral language such as 'pleased' and 'nice', presenting a calmer and more restrained expression of happiness.",0.85,0.65,0.7,0.9,0.85,0.75,0.75,0.4,0.65
dailydialog,train,dd_train_639_0,"Where can I get the information , Kate ?  Ask John . He is sure to know about it .  Why ?  He has a finger in the pie .","Where exactly can I get the information, Kate? Please ask John — he definitely knows all about it! Why? Because he is deeply involved and knows every detail!","Where can I obtain the information, Kate? Perhaps you could inquire with John. He is likely familiar with it. Why? He has some involvement.",0.95,"Increased emotional intensity by making the speaker's inquiry and recommendation more eager and involved, using phrases like 'exactly' and 'definitely knows all about it' and emphasizing John's strong involvement.","Reduced emotional intensity by using more formal and restrained language, such as 'obtain' instead of 'get', 'perhaps you could inquire', and 'likely familiar', presenting the information in a more detached manner.",0.55,0.45,0.5,0.65,0.7,0.55,0.5,0.3,0.45
empatheticdialogues,all,ed_all_17543,I won a year of unlimited pizza. I'm so psyched.,I won a year of unlimited pizza! I couldn't be more excited!,I won a year of unlimited pizza. That's nice.,0.95,"The positive rewrite amplifies enthusiasm and excitement, making the emotion more intense and vivid.","The negative rewrite reduces emotional intensity, making the excitement more restrained and subdued.",0.85,0.75,0.65,0.9,0.95,0.7,0.7,0.4,0.6
empatheticdialogues,all,ed_all_47595,I just saw the Acropolis when I was on vacation and it was amazing. Everyone should see it!,"I recently saw the Acropolis on my vacation, and it was absolutely breathtaking! I truly believe everyone must experience it!",I saw the Acropolis during my vacation; it was quite impressive. It's worth visiting.,0.95,"The positive rewrite increases emotional intensity with more dramatic and enthusiastic language, expressing stronger excitement and urgency.","The negative rewrite reduces emotional intensity, using more restrained and neutral expressions to convey the same information calmly.",0.85,0.75,0.7,0.9,0.85,0.75,0.78,0.55,0.65
dailydialog,train,dd_train_899_0,It's said that the government will clamp down on the new policy. Are you sure of that? I am not certain about that. They may have some difficulty in doing it.,It's said that the government will really clamp down hard on the new policy! Are you absolutely certain about that? I'm quite doubtful myself. They might face serious challenges in making it happen.,It is reported that the government may clamp down on the new policy. Are you confident about that? I have some reservations. They could encounter difficulties in executing it.,0.95,"The positive version is more dramatic and expressive, emphasizing uncertainty and challenges with stronger language and heightened emotional engagement.","The negative version is more restrained and formal, with cautious wording and reduced emotional emphasis while keeping the original meaning.",0.45,0.4,0.5,0.55,0.65,0.6,0.4,0.3,0.45
dailydialog,test,dd_test_72_0,"Ms . Montgomery ? This is Richard Thomas . I ’ m sorry to bother you at home , but I ’ Ve got a bit of a problem .  Oh ? What ’ s wrong ?  My daughter ’ s just banged up her knee pretty badly and I ’ m going to have to take her to the hospital . I ’ ll be about two hours late .","Ms . Montgomery ? This is Richard Thomas . I hate to bother you at home , but I honestly have a bit of a serious problem .  Oh ? What ’ s wrong ?  My daughter has really badly banged up her knee and I’m taking her to the hospital right away . I ’ ll be about two hours late .","Ms . Montgomery ? This is Richard Thomas . Apologies for contacting you at home , but I have a small problem .  Oh ? What ’ s wrong ?  My daughter has injured her knee and I need to take her to the hospital . I ’ ll be approximately two hours late .",0.95,"The positive rewrite increases emotional intensity by adding expressions of urgency and seriousness, making the situation feel more immediate and pressing.","The negative rewrite decreases emotional intensity by using more formal and neutral language, reducing urgency and conveying the message in a calm, restrained manner.",0.65,0.45,0.55,0.7,0.7,0.6,0.6,0.3,0.5
empatheticdialogues,all,ed_all_15513,I just bought a case of beer. I have to get up early though.,"I just treated myself to a whole case of beer! Though, I really need to wake up early tomorrow...",I bought a case of beer. I need to wake up early tomorrow.,0.95,"The positive rewrite increases emotional intensity by expressing enthusiasm and a hint of concern explicitly, making the speaker’s feelings more vivid and personal.","The negative rewrite decreases emotional intensity by stating the facts plainly and straightforwardly, reducing the subjective emphasis or excitement.",0.65,0.45,0.55,0.75,0.65,0.6,0.55,0.3,0.5
empatheticdialogues,all,ed_all_11492,"I was very depressed and upset when my partner left, we've been together for years and I feel like my time has been wasted.","I was absolutely devastated and heartbroken when my partner left; after all these years together, I feel like my entire time was thrown away and lost forever.","I felt down and a bit upset when my partner left; we've been together a long time, and it seems like the time wasn't as worthwhile as I hoped.",0.95,"The emotions are expressed with greater intensity and dramatic vulnerability, highlighting deep devastation and heartbreak.","The emotions are toned down to a more subdued and restrained expression, softening the impact while maintaining sadness and disappointment.",0.25,0.65,0.35,0.15,0.85,0.25,0.3,0.45,0.4
empatheticdialogues,all,ed_all_28090,my neighbor keeps being really loud late at night,"my neighbor keeps being annoyingly loud late at night, it's really disrupting my sleep!",my neighbor is loud late at night occasionally.,0.95,"The utterance is made more emotionally intense, emphasizing annoyance and disturbance caused by the loudness at night.",The utterance is toned down to sound more restrained and less emotionally charged about the loudness at night.,0.3,0.5,0.4,0.25,0.75,0.5,0.35,0.3,0.35
empatheticdialogues,all,ed_all_23911,"One time I started getting really weird texts from a guy. He had pictures of outside my house and it scared me, but it was just a friend pranking me.","One time, I was genuinely terrified when I started getting really creepy texts from a guy. He had pictures of outside my house, and it honestly scared me a lot, but thankfully it was just a friend playing a prank on me.","Once, I received some unusual texts from a guy who had pictures from outside my house. It was somewhat unsettling, but it turned out to be a friend’s prank.",0.95,"Increases the emotional intensity by expressing heightened fear and vulnerability, making the fear feel more explicit and personal.","Decreases the emotional intensity by describing the event in a more neutral and detached manner, reducing the sense of fear and urgency.",0.38,0.58,0.4,0.42,0.79,0.38,0.44,0.36,0.52
empatheticdialogues,all,ed_all_1695,"As I've gotten older I've learned to highly value my own culture and ethnic identity. I am First Generation Filipino and even though I've lived everywhere I still feel connected to my ancestors. I am from Royal Blood, the Maharlika meaning ""Chosen by the most high"". I feel like my family and I are among the last ones.","As I've grown older, my appreciation for my culture and ethnic identity has deepened profoundly. Being a First Generation Filipino, despite having lived everywhere, I feel an intense, unbreakable bond with my ancestors. I proudly come from Royal Blood, the Maharlika, meaning ""Chosen by the most high."" It moves me deeply to feel that my family and I stand as one of the last proud bearers of this heritage.","As I've gotten older, I've come to appreciate my culture and ethnic identity. I'm First Generation Filipino and, even though I've lived in many places, I maintain a connection to my ancestors. I am from Royal Blood, the Maharlika, which means ""Chosen by the most high."" I believe my family and I may be among the last ones.",0.95,"The positive rewrite increases emotional intensity by expressing deeper appreciation and pride, with more vivid and heartfelt phrases like ""deeply,"" ""unbreakable bond,"" and ""moves me deeply.""","The negative rewrite tones down the emotional expression, using more neutral and factual language without overt passion or intensity.",0.75,0.52,0.65,0.85,0.78,0.7,0.7,0.35,0.6
empatheticdialogues,all,ed_all_44567,i was mad when i saw someone hit my car,i was absolutely furious when i saw someone hit my car,i was somewhat upset when i saw someone hit my car,0.95,"increased intensity of anger, more dramatic and explicit","reduced intensity of anger, more restrained and formal",0.3,0.6,0.5,0.3,0.85,0.6,0.4,0.4,0.4
empatheticdialogues,all,ed_all_33637,I ate at Gordan Ramsays restaurant. The food was amazing.,I had the incredible experience of dining at Gordan Ramsays restaurant. The food was absolutely amazing and blew me away!,I ate at Gordan Ramsays restaurant. The food was good.,0.95,"The positive rewrite heightens the emotional intensity by using more enthusiastic and vivid language, expressing stronger excitement and admiration for the experience and food.","The negative rewrite reduces the emotional intensity by using more restrained and neutral language, moderating the enthusiasm for the food without losing the positive evaluation.",0.85,0.6,0.7,0.95,0.85,0.75,0.75,0.4,0.65
empatheticdialogues,all,ed_all_40664,I have to make a quiche later. I am sure it will be easy to make.,"I really have to make a quiche later, and I’m absolutely confident it’ll be super easy to make!",I need to make a quiche later. I believe it will be fairly easy to make.,0.95,Increased enthusiasm and assuredness convey a higher emotional intensity about making the quiche.,More restrained and matter-of-fact tone reduces emotional intensity while maintaining the original meaning.,0.7,0.4,0.6,0.85,0.65,0.75,0.65,0.25,0.55
empatheticdialogues,all,ed_all_30852,I remember getting ice cream with my family.  I miss that time so much.,I deeply cherish the moments getting ice cream with my family. I truly miss those times with all my heart.,I recall getting ice cream with my family. I miss those times.,0.95,"The positive rewrite conveys a more intense and heartfelt nostalgia, using explicit emotional language to emphasize the warmth and longing.","The negative rewrite conveys a more restrained and subdued expression of nostalgia, using neutral wording and less emotional intensity.",0.75,0.45,0.6,0.85,0.7,0.65,0.7,0.3,0.55
dailydialog,train,dd_train_2933_0,"I hear that you are going to participate in the dinner party tonight. Seen from what you are dressing, you really look like a fox. Yeah, I think it will be wonderful.","I heard you're going to the dinner party tonight, and with the way you're dressed, you absolutely look stunning like a fox! I'm so excited—I know it's going to be absolutely wonderful.","I heard you'll be attending the dinner party tonight. Judging by your outfit, you look quite sharp. It seems like it will be a pleasant evening.",0.95,"The positive rewrite amplifies the enthusiasm and excitement about the event and the person's appearance, making it more vivid and heartfelt.","The negative rewrite tones down the excitement and personal flair, using more formal and restrained language to reduce emotional intensity.",0.75,0.45,0.6,0.9,0.75,0.7,0.65,0.25,0.55
empatheticdialogues,all,ed_all_54523,"I was in a class when my name was mentioned for an award, I came out feeling high","I was in a class when my name was proudly mentioned for an award, and I came out feeling elated and truly on top of the world","I was in a class when my name was mentioned for an award, and I quietly left feeling pleased",0.95,Increases emotional intensity by expressing the joy more vividly and using stronger positive emotion words.,"Decreases emotional intensity by using more neutral and subdued wording, making the feeling more restrained.",0.78,0.65,0.6,0.9,0.85,0.7,0.7,0.4,0.55
empatheticdialogues,all,ed_all_36880,My oldest daughter will graduate high school this year.  I'm having to pull old baby photos of her to put together the slide show for her homeschool graduation ceremony.,My oldest daughter is graduating high school this year! I'm joyfully digging out those sweet old baby photos to create a heartfelt slide show for her homeschool graduation ceremony.,My oldest daughter will graduate high school this year. I'm gathering some old baby photos to assemble the slide show for her homeschool graduation ceremony.,0.95,The rewrite adds warmth by expressing joyful and heartfelt feelings about the graduation and the nostalgic photos.,"The rewrite tones down warmth, presenting the information in a more neutral and matter-of-fact manner without emotional embellishment.",0.7,0.4,0.6,0.85,0.6,0.65,0.6,0.3,0.6
dailydialog,train,dd_train_1303_0,Congratulations ! You've just won a car !  It's too good to be true .,"Wow, congratulations! You've actually won a car! I can't believe how unbelievably lucky you are—it feels like a dream come true!",Congratulations. You've won a car. It seems almost unreal.,0.95,"The positive rewrite is more expressive and dramatic, amplifying excitement and surprise to create a richer emotional experience.","The negative rewrite is more restrained and calm, reducing the intensity of excitement and surprise for a more formal and subdued tone.",0.88,0.75,0.65,0.95,0.9,0.7,0.8,0.5,0.6
empatheticdialogues,all,ed_all_2681,"I once was in a car with my friend who was really high and I was pretty scared. I thought that he would drive really badly but he didn't, but it was still worrying.","I once was in a car with my friend who was really high and I was honestly terrified. I kept thinking he would drive terribly, but thankfully he didn't, though it was still deeply worrying.","I was once in a car with my friend who was high and felt somewhat scared. I thought he might drive poorly, but he didn't, although it was still a bit concerning.",0.95,"Increased emotional intensity with explicit, vivid language conveying strong fear and worry, more dramatic and vulnerable.","Decreased emotional intensity with more restrained, calm, and neutral expressions of fear and worry, less dramatic.",0.55,0.6,0.5,0.58,0.85,0.45,0.53,0.35,0.55
empatheticdialogues,all,ed_all_1385,I went to a new restaurant with friends I hadn't seen in a long time.,I was so excited to go to a new restaurant with friends I hadn't seen in ages!,I went to a new restaurant with some friends I hadn't seen for a while.,0.95,More emotionally intense and enthusiastic expression of the event.,More emotionally restrained and neutral expression of the event.,0.65,0.45,0.55,0.75,0.7,0.6,0.6,0.3,0.5
empatheticdialogues,all,ed_all_17183,I was very happy this last vacation. It was just so relaxing,I was absolutely thrilled this last vacation. It felt incredibly relaxing in every way,I was pleased with this last vacation. It was quite relaxing,0.95,"The positive rewrite intensifies the emotional expression by using stronger adjectives like 'absolutely thrilled' and 'incredibly,' making the happiness and relaxation feel more vivid and intense.","The negative rewrite tones down the emotional expression to a more restrained and moderate level using milder adjectives like 'pleased' and 'quite,' thus reducing the emotional intensity but keeping the original positive sentiment.",0.83,0.6,0.7,0.9,0.8,0.75,0.75,0.45,0.65
empatheticdialogues,all,ed_all_50475,I just got a new car last week. Today at work someone hit my car when I was at lunch.,"I was so excited to get my new car just last week, and today at work, someone carelessly hit it while I was at lunch, which really upset me.","I recently acquired a new car last week. At work today, someone hit it during my lunch break.",0.95,The emotional intensity is increased by expressing excitement about the new car and emphasizing upset about the incident.,The emotional intensity is decreased by stating the facts more neutrally and with less emotional emphasis.,0.5,0.4,0.5,0.55,0.65,0.5,0.45,0.25,0.5
empatheticdialogues,all,ed_all_17235,I was hapy when i got to leave work early!,I was absolutely thrilled and overjoyed when I got to leave work early!,I was glad to leave work early.,0.95,"The positive rewrite expresses a stronger, more intense feeling of happiness, using more vivid and explicit language to amplify emotional excitement.","The negative rewrite tones down the emotional intensity, expressing happiness more restrainedly and less excitedly, using a more neutral and calm phrasing.",0.85,0.72,0.6,0.93,0.85,0.65,0.75,0.55,0.55
empatheticdialogues,all,ed_all_22889,I was only two days untill my disney land trip,"I was so incredibly excited, just two days away from my Disneyland trip!",My Disneyland trip was in two days.,0.9,"The emotion is expressed with greater excitement and enthusiasm, intensifying the anticipation.","The emotion is toned down, expressed more plainly and matter-of-factly, reducing excitement.",0.7,0.5,0.6,0.85,0.8,0.7,0.6,0.3,0.5
empatheticdialogues,all,ed_all_52426,"I really miss living in Montreal, it was a fun city","I truly, deeply miss living in Montreal; it was such an amazingly fun city that I cherish.",I miss living in Montreal; it was quite a fun city.,1.0,"Increases emotional intensity, making the sentiment more dramatic and heartfelt.","Decreases emotional intensity, making the sentiment more restrained and subdued.",0.74,0.58,0.55,0.85,0.79,0.6,0.65,0.4,0.5
dailydialog,validation,dd_validation_537_0,We need a person who knows how to operate and repair all kinds of office appliances. I used to hold a similar job for six years. So you're quite confident in your experience and skill? I think so.,"We truly need someone who really understands how to operate and repair every kind of office appliance. I held a very similar job for six full years. So you're genuinely confident in your experience and skill? Absolutely, I am!","We require a person capable of operating and repairing various office appliances. I previously held a comparable position for six years. So, you are confident in your experience and skill? Yes, I believe so.",0.95,"The positive rewrite intensifies the emotional expression by adding adverbs that emphasize certainty and enthusiasm, making the confidence and experience more explicit and vivid.","The negative rewrite tones down emotional intensity using formal and restrained language, presenting the same facts and confidence more neutrally and reservedly.",0.65,0.45,0.55,0.78,0.7,0.65,0.55,0.3,0.5
empatheticdialogues,all,ed_all_48429,I got a check in the mail from out of nowhere for 500 dollars.  I am so shocked to get it.,I can't believe it—I got a check in the mail out of nowhere for 500 dollars! I'm absolutely stunned and thrilled to receive it!,I received a check in the mail for 500 dollars unexpectedly. I'm somewhat surprised to get it.,0.95,More dramatic and explicit expression of shock and surprise.,More restrained and formal expression of surprise.,0.8,0.6,0.5,0.9,0.85,0.6,0.75,0.4,0.5
empatheticdialogues,all,ed_all_15380,My neighbor returned my longsword last night. I was so thankful for his kind gesture.,"My neighbor returned my longsword last night, and I felt deeply grateful for his incredibly kind gesture.",My neighbor returned my longsword last night. I appreciated his gesture.,0.95,Increases warmth by expressing deeper gratitude with more heartfelt and explicit language.,Decreases warmth by expressing gratitude in a more neutral and restrained manner.,0.78,0.42,0.6,0.86,0.55,0.65,0.7,0.3,0.58
empatheticdialogues,all,ed_all_38584,My wife is amazing. She would never cheat on me.,My wife is truly incredible. I'm completely confident she would never cheat on me.,My wife is good. I don't think she would cheat on me.,0.95,The positive rewrite expresses greater warmth and affection by using intensified praise and stronger confidence.,"The negative rewrite expresses less warmth, using more neutral language and reducing emotional intensity.",0.85,0.5,0.7,0.95,0.65,0.75,0.7,0.3,0.65
dailydialog,train,dd_train_6066_0,I think it might be a good idea to work as a guide. Where do you intend to go? Three Gorges of the Yangtze River. That's beautiful.,I truly believe it could be a wonderful idea to work as a guide. Where exactly do you want to go? To the Three Gorges of the Yangtze River—that's absolutely breathtaking!,I suppose working as a guide could be a reasonable idea. Where do you plan to go? The Three Gorges of the Yangtze River. That is quite beautiful.,0.95,"The speaker expresses the same ideas with greater enthusiasm and vivid appreciation, making the emotion more explicit and intense.","The speaker delivers the same ideas in a more subdued and neutral tone, reducing emotional expressiveness.",0.75,0.5,0.55,0.85,0.75,0.65,0.65,0.3,0.5
empatheticdialogues,all,ed_all_40120,"I asked my husband to make me a sandwich and he's taking so long, ugh.","I asked my husband to make me a sandwich, and I'm really frustrated that he's taking so long, ugh!","I asked my husband to make me a sandwich, and he's taking longer than I expected.",0.95,"The positive rewrite expresses greater frustration and impatience, intensifying the emotional response to the husband's delay.","The negative rewrite softens the frustration, stating the delay more neutrally and with less emotional emphasis.",0.45,0.55,0.5,0.4,0.75,0.55,0.5,0.35,0.48
dailydialog,train,dd_train_9691_0,"Next , please . Where to , sir ?  A one-way ticket to Chicago , please .  How many did you say , sir ?  One adult , please .  That will be six dollars . Out of ten-seven , eight , nine , ten . Thank you .","Next , please ! Where to , sir ? A one-way ticket to Chicago , please . How many did you say , sir ? Just one adult , please . That will be six dollars . Out of ten-seven , eight , nine , ten . Thank you very much !","Next , please . Where to ? One-way ticket to Chicago . One adult . Six dollars . Ten-seven , eight , nine , ten . Thank you .",0.95,The utterance is made warmer and more engaging by adding polite enthusiasm and slight elaboration.,"The utterance is made more formal, terse, with reduced warmth and fewer polite expressions.",0.6,0.4,0.7,0.75,0.55,0.7,0.45,0.3,0.7
dailydialog,train,dd_train_9219_0,This is the rush hour. I noticed there’s a jam a few blocks away. Let’s drive off this road. I’m afraid I’ll be late.,"Oh no, it’s the dreadful rush hour! I just spotted a huge jam a few blocks ahead. Let’s quickly find another road! I’m really scared I’ll be terribly late.",It’s the usual rush hour. There appears to be a jam a few blocks away. Let’s consider taking another road. I might end up a bit late.,0.95,"The emotion of worry and urgency is intensified to sound more dramatic, explicit, and anxious.","The worry is expressed in a more calm, restrained, and neutral way, reducing the emotional intensity.",0.35,0.5,0.4,0.32,0.78,0.35,0.38,0.3,0.45
empatheticdialogues,all,ed_all_55833,The first time I traveled out of the country I went with my boyfriend. He had been out of the country before and was comfortable traveling internationally.,"The very first time I traveled out of the country, I went with my boyfriend, who had already been abroad and felt completely at ease with international travel.","The first time I traveled out of the country, I went with my boyfriend, who had prior international travel experience and was comfortable with it.",0.95,The positive rewrite increases emotional intensity by making the experience feel more vivid and emphasizing comfort and ease explicitly.,"The negative rewrite decreases emotional intensity by using more neutral and factual phrasing, reducing emotional emphasis.",0.72,0.45,0.6,0.78,0.6,0.65,0.68,0.3,0.58
empatheticdialogues,all,ed_all_19102,I was worried for the future when my friend went on bed rest during her pregnancy.,I was truly anxious and deeply worried about what the future would hold when my friend went on bed rest during her pregnancy.,I felt somewhat concerned about the future when my friend went on bed rest during her pregnancy.,0.95,More intense and explicit expression of worry and anxiety.,More restrained and less explicitly emotional expression of concern.,0.4,0.5,0.4,0.38,0.72,0.35,0.42,0.35,0.45
empatheticdialogues,all,ed_all_49214,"Being a loyal Apple customer and seeing its recent $1 Trillion break in market cap in stock market, makes me feel great about this company","As a truly loyal Apple customer, witnessing its spectacular $1 Trillion market cap milestone fills me with incredible pride and excitement about this company!","As a loyal Apple customer, noting its recent $1 Trillion market cap milestone makes me feel positively about the company.",0.95,"Increased emotional intensity and enthusiasm about the company's milestone, expressing stronger pride and excitement.",Decreased emotional intensity with a more restrained and formal expression of positive feeling about the milestone.,0.79,0.58,0.65,0.89,0.82,0.75,0.72,0.4,0.6
dailydialog,train,dd_train_10735_0,"How many kinds of secretaries work here? There are 3 secretarial categories here. One is receptionist, one is junior secretary, and the other is senior secretary. What sort of duties do you expect? I would like to be able to work independently and take over some ordinary responsibilities such as answering routine correspondences, taking phone calls, and sometimes assisting you with personal business affairs.","Could you tell me exactly how many kinds of secretaries work here? I’m very interested! I understand there are 3 secretarial categories: receptionist, junior secretary, and senior secretary. What sort of duties do you expect? I genuinely hope to work independently and eagerly take on some ordinary responsibilities like answering routine correspondences, taking phone calls, and even assisting you with personal business affairs whenever needed.","Could you specify how many kinds of secretaries work here? I understand there are three categories: receptionist, junior secretary, and senior secretary. What duties do you expect? I would prefer to work independently and handle some standard tasks such as answering routine correspondences, taking phone calls, and occasionally assisting with personal business matters.",0.95,"The positive rewrite enhances the emotional intensity by expressing eagerness and interest more explicitly, adding warmth and enthusiasm to the inquiry and willingness to work independently.","The negative rewrite reduces emotional intensity by using more formal and restrained language, making the speaker seem more reserved and less openly enthusiastic while conveying the same information.",0.65,0.45,0.55,0.75,0.65,0.6,0.6,0.3,0.5
empatheticdialogues,all,ed_all_58740,"I recently decided to start blogging again and feel pretty good about it. I used to have a decent sized audience, so hopefully I can build it back up.","I've just decided to start blogging again, and honestly, I feel really excited and optimistic about it! I had a pretty good following before, so I'm truly hopeful I can reconnect and grow my audience once more.","I've decided to start blogging again and feel somewhat okay about it. I had a modest audience previously, so I hope to gradually rebuild it.",0.95,The positive rewrite amplifies emotional intensity by expressing stronger excitement and optimism with more vivid language.,"The negative rewrite tones down emotional intensity, making the speaker sound more restrained and less emotionally engaged.",0.7,0.45,0.5,0.85,0.7,0.6,0.6,0.2,0.45
dailydialog,train,dd_train_8099_0,"Jenny , Can you come and help me ?  Mom , what should I do ?  It's dusty everywhere in the house . Can you help me do the housecleaning ?  OK . I will call Peter to clean it together .  That's my good girl . The clothes need washing . I'll do the laundry .","Jenny, could you please come and help me? Mom, what should I do? The house is so dusty everywhere, it's really overwhelming. Could you help me with the housecleaning? Alright, I'll call Peter so we can clean it together. You're such a wonderful girl. The clothes really need washing too, and I'll take care of the laundry.","Jenny, can you come and help me? Mom, what should I do? There is dust around the house. Can you assist me with housecleaning? Okay. I will call Peter to help with cleaning. That's good. The clothes need washing; I will do the laundry.",0.95,"The positive rewrite adds warmth through polite requests, expressing being overwhelmed, and affectionate praise.","The negative rewrite is more neutral, straightforward, and less expressive, reducing warmth and emotional engagement.",0.65,0.45,0.6,0.75,0.6,0.65,0.55,0.3,0.55
dailydialog,train,dd_train_7325_0,"Excuse me, how many sightseeing spots are there in the park? There are about 20 main spots and some other small spots. Do I have to buy extra ticket if I want to visit the main spots? Yes, some of the spots charges separately. Well, do you have through tickets? Yes, sir, it's $20.","Pardon me, could you kindly tell me how many sightseeing spots the park offers? I've heard there are about 20 main spots along with several smaller ones. Would I need to purchase extra tickets to enjoy the main attractions? I see, some spots have separate fees. Oh, do you happen to offer through tickets? That would be wonderful; may I know the price? Certainly, sir, it's $20.","Excuse me, how many sightseeing spots does the park have? There are 20 main spots and some small ones. Must I buy extra tickets for the main spots? Yes, some spots charge separately. Do you have through tickets? Yes, sir, they cost $20.",0.95,"The positive rewrite increases warmth and politeness, using more courteous phrasing and expressions to create a friendlier and more engaging tone.","The negative rewrite neutralizes warmth, using direct and concise language to sound more formal and detached, reducing warmth and personal engagement.",0.55,0.45,0.65,0.7,0.6,0.7,0.45,0.3,0.6
empatheticdialogues,all,ed_all_23904,"On my tenth birthday, I was expecting to receive a new bike. However, all I got was a lousy pair of socks","On my tenth birthday, I was so sure I'd get a new bike. But instead, I ended up with nothing but a lousy pair of socks—can you believe it?","On my tenth birthday, I expected a new bike; however, I only received a pair of socks.",0.95,"The emotional intensity is increased, making the disappointment more explicit and dramatic.","The emotional intensity is decreased, making the statement more restrained and neutral.",0.3,0.4,0.5,0.3,0.6,0.5,0.3,0.2,0.5
empatheticdialogues,all,ed_all_16662,I am home alone this weekend. I do not like that. It gets too quiet.,"I am home alone this weekend, and honestly, I really don’t like it. It feels unbearably quiet.",I am home alone this weekend. That is something I prefer not to experience. The quiet is notably present.,0.95,"The positive rewrite expresses the speaker's discomfort more explicitly and intensely, highlighting a stronger emotional reaction to being alone and the quietness.","The negative rewrite tones down the emotional expression, making it more formal and restrained, with less explicit personal feelings about the quietness.",0.35,0.4,0.45,0.3,0.65,0.4,0.25,0.2,0.5
empatheticdialogues,all,ed_all_20722,I was so mad when I forgot to pay my credit card. I felt dumb,I was absolutely furious when I forgot to pay my credit card. I felt incredibly dumb and frustrated,I was annoyed when I forgot to pay my credit card. I thought I was a bit careless,0.95,"The positive rewrite amplifies the emotional intensity, making the anger and self-reproach more dramatic and explicit.","The negative rewrite tones down the emotional intensity, expressing milder annoyance and less harsh self-judgment in a restrained manner.",0.45,0.65,0.4,0.4,0.85,0.45,0.5,0.4,0.35
dailydialog,train,dd_train_3495_0,"Mr. Clinton, it's nice to see you again. Nice to see you again, too. Peter. How's your family? Very well. How's Mrs. Clinton? Not bad. But she's as busy as before.","Mr. Clinton, it's really wonderful to see you again! Nice to see you again as well, Peter! How's your family doing? They're doing very well, thank you! And how about Mrs. Clinton? She's holding up, though she's incredibly busy as always.","Mr. Clinton, good to see you again. Likewise, Peter. How is your family? They are fine. And Mrs. Clinton? She is busy as usual.",0.95,"Increasing the warmth and friendliness in the greeting and follow-up questions, making the interaction more personal and kind-hearted.","Reducing the warmth to a more neutral and formal tone, keeping the content but with less personal engagement.",0.7,0.4,0.6,0.85,0.55,0.65,0.55,0.25,0.55
dailydialog,train,dd_train_7764_0,"Will you introduce me to the new colleague? Haven't you met yet? No, we haven't. I'll be glad to do it.","Will you please introduce me to the new colleague? Haven't you met yet? No, we haven't. I'd be absolutely delighted to do it!","Could you introduce me to the new colleague? Haven't you met? No, not yet. I'm willing to do it.",0.95,The positive rewrite increases warmth by making the request more polite and expressing greater enthusiastic willingness.,The negative rewrite reduces warmth by using more neutral and formal language with less enthusiastic willingness.,0.7,0.5,0.55,0.85,0.75,0.6,0.55,0.3,0.5
